number,name,votes,electronic,abroad,mandate,district,party
263,Kaja Kallas,20072,12843,34,Isikumandaat,4,Eesti Reformierakond
936,Mihhail Kõlvart,17150,2623,37,Isikumandaat,2,Eesti Keskerakond
961,Jüri Ratas,9702,2796,11,Isikumandaat,4,Eesti Keskerakond
790,Mart Helme,9170,2587,84,Isikumandaat,12,Eesti Konservatiivne Rahvaerakond
238,Siim Kallas,8733,6000,39,Isikumandaat,2,Eesti Reformierakond
253,Urmas Paet,8584,5386,15,Isikumandaat,3,Eesti Reformierakond
711,Henn Põlluaas,7390,2677,72,Isikumandaat,4,Eesti Konservatiivne Rahvaerakond
924,Raimond Kaljulaid,7303,1484,13,Isikumandaat,1,Eesti Keskerakond
226,Kristen Michal,6347,4148,21,Isikumandaat,1,Eesti Reformierakond
993,Yana Toom,6195,929,4,Isikumandaat,7,Eesti Keskerakond
322,Urmas Klaas,6119,3066,14,Isikumandaat,10,Eesti Reformierakond
304,Jürgen Ligi,6069,3295,14,Isikumandaat,8,Eesti Reformierakond
701,Martin Helme,5967,2110,57,Ringkonnamandaat,3,Eesti Konservatiivne Rahvaerakond
1040,Kadri Simson,5741,1410,11,Ringkonnamandaat,12,Eesti Keskerakond
752,Jaak Madison,5612,1788,57,Isikumandaat,8,Eesti Konservatiivne Rahvaerakond
513,Marina Kaljurand,5504,2983,14,Ringkonnamandaat,4,Sotsiaaldemokraatlik Erakond
313,Urmas Kruuse,5398,2973,8,Ringkonnamandaat,9,Eesti Reformierakond
342,Toomas Kivimägi,5202,2659,12,Ringkonnamandaat,12,Eesti Reformierakond
686,Leo Kunnas,4813,1777,60,Ringkonnamandaat,2,Eesti Konservatiivne Rahvaerakond
1097,Jüri Luik,4806,2640,14,Ringkonnamandaat,4,Isamaa Erakond
227,Heidy Purga,4763,3363,5,Ringkonnamandaat,1,Eesti Reformierakond
254,Maris Lauri,4331,3027,10,Ringkonnamandaat,3,Eesti Reformierakond
712,Siim Pohlak,4152,1489,20,Ringkonnamandaat,4,Eesti Konservatiivne Rahvaerakond
951,Taavi Aas,3925,899,7,Ringkonnamandaat,3,Eesti Keskerakond
761,Peeter Ernits,3846,1156,30,Ringkonnamandaat,9,Eesti Konservatiivne Rahvaerakond
780,Uno Kaskpeit,3802,1116,48,Ringkonnamandaat,11,Eesti Konservatiivne Rahvaerakond
264,Marko Mihkelson,3655,2604,2,Ringkonnamandaat,4,Eesti Reformierakond
332,Hanno Pevkur,3595,1937,5,Ringkonnamandaat,11,Eesti Reformierakond
280,Kalle Laanet,3344,1825,5,Ringkonnamandaat,5,Eesti Reformierakond
736,Anti Poolamets,3335,1050,42,Ringkonnamandaat,6,Eesti Konservatiivne Rahvaerakond
956,Lauri Laats,3251,444,2,Ringkonnamandaat,3,Eesti Keskerakond
728,Helle-Moonika Helme,3202,1084,29,Ringkonnamandaat,5,Eesti Konservatiivne Rahvaerakond
1138,Helir-Valdor Seeder,3138,1414,8,Ringkonnamandaat,8,Isamaa Erakond
324,Ants Laaneots,3053,1741,9,Ringkonnamandaat,10,Eesti Reformierakond
288,Taavi Rõivas,2847,1415,8,Ringkonnamandaat,6,Eesti Reformierakond
1030,Tarmo Tamm,2824,717,1,Ringkonnamandaat,11,Eesti Keskerakond
770,Jaak Valge,2740,869,39,Ringkonnamandaat,10,Eesti Konservatiivne Rahvaerakond
488,Jevgeni Ossinovski,2680,1546,19,Ringkonnamandaat,2,Sotsiaaldemokraatlik Erakond
994,Mihhail Stalnuhhin,2653,229,4,Ringkonnamandaat,7,Eesti Keskerakond
1087,Urmas Reinsalu,2633,1303,13,Ringkonnamandaat,3,Isamaa Erakond
281,Urve Tiidus,2617,1545,13,Kompensatsioonimandaat,5,Eesti Reformierakond
675,Urmas Reitelmann,2585,964,29,Ringkonnamandaat,1,Eesti Konservatiivne Rahvaerakond
1150,Raivo Tamm,2583,1249,2,Ringkonnamandaat,9,Isamaa Erakond
1147,Aivar Kokk,2536,906,0,Kompensatsioonimandaat,9,Isamaa Erakond
1156,Tõnis Lukas,2506,1081,8,Ringkonnamandaat,10,Isamaa Erakond
239,Keit Pentus-Rosimannus,2482,1616,4,Ringkonnamandaat,2,Eesti Reformierakond
265,Aivar Sõerd,2476,1614,1,Ringkonnamandaat,4,Eesti Reformierakond
343,Annely Akkermann,2397,1233,8,Ringkonnamandaat,12,Eesti Reformierakond
1020,Aadu Must,2370,554,3,Ringkonnamandaat,10,Eesti Keskerakond
333,Liina Kersna,2343,1270,7,Ringkonnamandaat,11,Eesti Reformierakond
228,Arto Aas,2339,1790,2,Ringkonnamandaat,1,Eesti Reformierakond
269,Madis Milling,2310,1370,2,Ringkonnamandaat,4,Eesti Reformierakond
811,Kristina Kallas,2306,1289,4,#N/A,2,Erakond Eesti 200
1176,Andres Metsoja,2228,973,4,Ringkonnamandaat,12,Isamaa Erakond
1002,Jaak Aab,2227,562,0,Ringkonnamandaat,8,Eesti Keskerakond
772,Indrek Särg,2223,542,6,#N/A,10,Eesti Konservatiivne Rahvaerakond
554,Helmen Kütt,2194,761,5,Ringkonnamandaat,8,Sotsiaaldemokraatlik Erakond
545,Katri Raik,2112,690,5,Ringkonnamandaat,7,Sotsiaaldemokraatlik Erakond
986,Siret Kotka-Repinski,2095,434,3,Ringkonnamandaat,6,Eesti Keskerakond
1012,Marika Tuus-Laul,2095,380,0,Ringkonnamandaat,9,Eesti Keskerakond
314,Valdo Randpere,2079,1206,1,Ringkonnamandaat,9,Eesti Reformierakond
937,Mailis Reps,2069,727,3,Ringkonnamandaat,2,Eesti Keskerakond
1123,Üllar Saaremäe,2023,834,2,Ringkonnamandaat,6,Isamaa Erakond
241,Kristina Šmigun-Vähi,2002,1432,6,Ringkonnamandaat,2,Eesti Reformierakond
1122,Marko Pomerants,1989,1004,2,#N/A,6,Isamaa Erakond
674,Urmas Espenberg,1974,633,21,#N/A,1,Eesti Konservatiivne Rahvaerakond
927,Vadim Belobrovtsev,1969,370,3,Ringkonnamandaat,1,Eesti Keskerakond
240,Andres Sutt,1905,1438,6,Kompensatsioonimandaat,2,Eesti Reformierakond
935,Marek Jürgenson,1813,414,0,Ringkonnamandaat,1,Eesti Keskerakond
1060,Tarmo Kruusimäe,1811,965,3,Ringkonnamandaat,1,Isamaa Erakond
836,Priit Alamäe,1811,1037,1,#N/A,4,Erakond Eesti 200
978,Enn Eesmaa,1805,481,6,Ringkonnamandaat,5,Eesti Keskerakond
925,Viktor Vassiljev,1708,335,9,#N/A,1,Eesti Keskerakond
476,Sven Mikser,1693,1076,7,Ringkonnamandaat,1,Sotsiaaldemokraatlik Erakond
1011,Janek Mäggi,1671,532,1,#N/A,9,Eesti Keskerakond
1033,Ester Karuse,1665,392,2,#N/A,11,Eesti Keskerakond
979,Jaanus Karilaid,1661,470,1,Kompensatsioonimandaat,5,Eesti Keskerakond
266,Kalle Palling,1655,1007,0,Ringkonnamandaat,4,Eesti Reformierakond
477,Riina Sikkut,1610,1074,9,Kompensatsioonimandaat,1,Sotsiaaldemokraatlik Erakond
1139,Kaia Iva,1526,712,5,#N/A,8,Isamaa Erakond
572,Heljo Pikhof,1522,569,6,Ringkonnamandaat,10,Sotsiaaldemokraatlik Erakond
315,Toomas Järveoja,1494,837,2,#N/A,9,Eesti Reformierakond
563,Eiki Nestor,1491,849,5,#N/A,9,Sotsiaaldemokraatlik Erakond
1031,Anneli Ott,1474,324,2,Kompensatsioonimandaat,11,Eesti Keskerakond
504,Helve Särgava,1466,788,5,#N/A,3,Sotsiaaldemokraatlik Erakond
713,Rene Kokk,1458,430,7,Ringkonnamandaat,4,Eesti Konservatiivne Rahvaerakond
582,Ivari Padar,1457,614,4,Ringkonnamandaat,11,Sotsiaaldemokraatlik Erakond
1114,Raivo Aeg,1451,691,11,#N/A,5,Isamaa Erakond
503,Rainer Vakra,1440,620,5,#N/A,3,Sotsiaaldemokraatlik Erakond
762,Raivo Põldaru,1414,445,13,#N/A,9,Eesti Konservatiivne Rahvaerakond
1166,Priit Sibul,1406,542,4,Ringkonnamandaat,11,Isamaa Erakond
1003,Kersti Sarapuu,1394,313,1,Kompensatsioonimandaat,8,Eesti Keskerakond
326,Signe Kivi,1356,808,5,Ringkonnamandaat,10,Eesti Reformierakond
538,Indrek Saar,1332,648,4,Kompensatsioonimandaat,6,Sotsiaaldemokraatlik Erakond
826,Lauri Hussar,1300,772,3,#N/A,3,Erakond Eesti 200
294,Marko Torm,1298,718,0,#N/A,6,Eesti Reformierakond
1073,Viktoria Ladõnskaja-Kubits,1259,709,2,Ringkonnamandaat,2,Isamaa Erakond
781,Merry Aart,1245,330,12,Ringkonnamandaat,11,Eesti Konservatiivne Rahvaerakond
953,Igor Kravtšenko,1223,178,0,#N/A,3,Eesti Keskerakond
765,Malle Pärn,1197,353,11,#N/A,9,Eesti Konservatiivne Rahvaerakond
1032,Heimar Lenk,1176,191,1,#N/A,11,Eesti Keskerakond
581,Marju Lauristin,1172,666,8,#N/A,10,Sotsiaaldemokraatlik Erakond
1072,Sven Sester,1154,587,4,Kompensatsioonimandaat,2,Isamaa Erakond
